A,B,"C_1(A,B)","C_2(A,B)","C_3(A,B)","C_4(A,B)","C_5(A,B)","C_6(A,B)","C_7(A,B)","C_8(A,B)","C_9(A,B)","C_10(A,B)"
k.txt,k.txt,1,1,1,1,1,1,1,1,1,1
k.txt,h.txt,0.358490566,0.0625,0.032258065,0.017241379,0,0,0,0,0,0
k.txt,z.txt,0.488888889,0.175438596,0.12962963,0.098039216,0.0625,0.044444444,0.023809524,0,0,0
k.txt,y.txt,0.288461538,0.043478261,0.028169014,0.014705882,0,0,0,0,0,0
k.txt,c.txt,0.396226415,0.090909091,0.03030303,0,0,0,0,0,0,0
k.txt,b.txt,0.368421053,0.091954023,0.023255814,0.011904762,0,0,0,0,0,0
k.txt,f.txt,0.257575758,0.053763441,0.021276596,0.010989011,0,0,0,0,0,0
k.txt,g.txt,0.368421053,0.091954023,0.023255814,0.011904762,0,0,0,0,0,0
k.txt,p.txt,0.36,0.06097561,0.023529412,0.012195122,0,0,0,0,0,0
h.txt,k.txt,0.351851852,0.059701493,0.03030303,0.016129032,0,0,0,0,0,0
h.txt,h.txt,1,1,1,1,1,1,1,1,1,1
h.txt,z.txt,0.355555556,0.087719298,0.074074074,0.058823529,0.041666667,0.022222222,0,0,0,0
h.txt,y.txt,0.596153846,0.434782609,0.323943662,0.235294118,0.153846154,0.096774194,0.06779661,0.035714286,0,0
h.txt,c.txt,0.339622642,0.075757576,0.015151515,0,0,0,0,0,0,0
h.txt,b.txt,0.333333333,0.068965517,0.046511628,0.035714286,0.024691358,0.013157895,0,0,0,0
h.txt,f.txt,0.318181818,0.064516129,0.042553191,0.032967033,0.023255814,0.012345679,0,0,0,0
h.txt,g.txt,0.333333333,0.068965517,0.046511628,0.035714286,0.024691358,0.013157895,0,0,0,0
h.txt,p.txt,0.32,0.085365854,0.047058824,0.036585366,0.025641026,0.013513514,0,0,0,0
z.txt,k.txt,0.407407407,0.149253731,0.106060606,0.080645161,0.051724138,0.037037037,0.020408163,0,0,0
z.txt,h.txt,0.301886792,0.078125,0.064516129,0.051724138,0.037037037,0.02,0,0,0,0
z.txt,z.txt,1,1,1,1,1,1,1,1,1,1
z.txt,y.txt,0.288461538,0.086956522,0.028169014,0.014705882,0,0,0,0,0,0
z.txt,c.txt,0.320754717,0.03030303,0.015151515,0,0,0,0,0,0,0
z.txt,b.txt,0.315789474,0.114942529,0.058139535,0.047619048,0.037037037,0.026315789,0.014084507,0,0,0
z.txt,f.txt,0.242424242,0.11827957,0.074468085,0.054945055,0.046511628,0.037037037,0.026315789,0.014084507,0,0
z.txt,g.txt,0.315789474,0.114942529,0.058139535,0.047619048,0.037037037,0.026315789,0.014084507,0,0,0
